record_id,alert_month,alert_section,drug_name,dosage_form,batch_number,mfg_date,expiry_date,manufacturer_raw,manufacturer_id,manufacturer_canonical,manufacturer_state,state,failure_reason,failure_categories,label_claim_disputed,testing_lab,lab_type,lab_name_canonical,source_url,source_type,parse_confidence,parse_flags
NSQ_2026-06_00bb7d7562df,2026-06,state_lab,Ketoconazole & Chlorhexidine Gluconate Lotion,,129,2025-09,2027-02,"Argion Cosmed India Pvt. Ltd., 1st Floor Old No 58, New No. 81, Golden Estate, Periya Pannacherry, Gerugambakkam, Tamil Nadu, 600122.",148,Argion Cosmed India Pvt. Ltd,Tamil Nadu,Tamil Nadu,Content,assay,,"DTL, Chennai-06",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_04deab37b86e,2026-06,state_lab,Gamma Benzene Hexachloride Lotion USP,,6P48,2026-04,2028-03,"Yacca Lifesciences Pvt Ltd, (A WHO-GMP Certified Company) 156, Raipur, Bhagwanpur, Roorkee-247661 (INDIA)",1823,Yacca Lifesciences Pvt. Ltd,,,The Product is official in I.P but is mentioned as USP on the label,other,,"SDTL, Punjab",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,0.9,failure_category_unmapped:the product is official in i.p but is mentioned as usp on th|state_ambiguous_pin:247
NSQ_2026-06_07905365cb6e,2026-06,state_lab,Carbimazole Tablets IP,,2510306,2025-10,2027-09,"Biodeal Pharmaceuticals Ltd. Vill. Saini Majra, Nalagarh - Ropar Road, Nalagarh -174101, Dist.Solan, Himachal Pradesh, India.",256,Biodeal Pharmaceuticals Pvt. Ltd,Himachal Pradesh,Himachal Pradesh,Content,assay,,"DTL, Madurai-19",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_08df764b8f97,2026-06,central_lab,"Levosalbutamol Sulphate, Ambroxol HCl & Guaiphenesin Syrup 60 ml",,SD-1376C,2025-07,2027-06,"Sano-Cito Therapeutics Inc.,Vill. Loharan, P.O. Ghatti, Solan-173211 (H.P.).",1428,Sano-Cito Therapeutics Inc,Himachal Pradesh,Himachal Pradesh,The sample does not conform to claim as per Schedule V of Drugs and Cosmetic Acts and Rules 1945 with respect to Assay/content of Levosalbutamol sulphate Equivalent to Levosalbutamol.,assay,,CDL Kolkata,central,"Central Drugs Laboratory, Kolkata",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_09354d8ec965,2026-06,state_lab,Amoxycillin Oral Suspension IP,,PDB099A,2024-11,2026-10,"Aan Life science Private Limited., Survey No. 144/1, P1, Village. Ghodasar -387110. Ta. Mahemdabad, Dist. Kheda, Gujarat. India.",10,Aan Life science Private Limited,Gujarat,Gujarat,Content of Amoxycillin.,assay,,"FDL, Vadodara",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_0a2bfe502ef8,2026-06,central_lab,Etodolac Tablets IP,,PNT5-1754A,2026-03,2028-02,"Pacific India,Village Dhana (Bagh Bania) Tehsil Nalagarh, District Solan H.P.",1193,Pacific India,Himachal Pradesh,Himachal Pradesh,The sample received does not conform to i.p.2022 specification with respect to the test for Dissolution,dissolution,,CDTL-Hyderabad,central,"Central Drugs Testing Laboratory, Hyderabad",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_0b9b6366e095,2026-06,state_lab,Formaldehyde IP Solution,,FD4686,2023-09,2026-08,"Krishna Pharma C-18/5/A, I.D.A, Uppal, Medchal Malkajgiri Dist, Hyderabad - 500 039, Telangana.",811,Krishna Pharma C-18/5/A,Telangana,Telangana,The Sample does not comply test parameter description as it contains white crystals. 2. Label states Formaldehyde I.P solution which is not availabe in current edition of IP.,description_labelling,,"State Lab, DCL, Telangana",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_0c55387804c5,2026-06,central_lab,Adenosine Injection IP 6 mg/2ml,,WADG25001A,2025-08,2027-07,"Welcure Remedies,Nahan Road, Vill. Moginand, Kala-Amb, Distt. Sirmour (H.P.) 173030",1804,Welcure Remedies,Himachal Pradesh,Himachal Pradesh,"The sample does not conforms to I.P. 2022 with respect to the Test of Identification, Particulate matter, Sterility, Bacterial endotoxins and Assay. The sample is deemed spurious as per D and C Act section 17 (B).",sterility|bacterial_endotoxins|particulate_matter|identification|spurious|assay,,"CDTL, Mumbai",central,"Central Drugs Testing Laboratory, Mumbai",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_0f2ca8bda422,2026-06,state_lab,Amoxycillin Oral Suspension IP,,PDB108A,2024-11,2026-10,"Aan Life science Private Limited., Survey No. 144/1, P1, Village. Ghodasar -387110. Ta. Mahemdabad, Dist. Kheda, Gujarat. India.",10,Aan Life science Private Limited,Gujarat,Gujarat,Content of Amoxycillin.,assay,,"FDL, Vadodara",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_0f69eb721ebe,2026-06,state_lab,Telmisartan Tablets IP 40 mg,,TM5143,2025-09,2027-08,"Kerala State Drugs and Pharmaceuticals Ltd, Kalavoor P.O., Alappuzha, Kerala-688 522.",791,Kerala State Drugs and Pharmaceuticals Ltd,Kerala,Kerala,"It fails the Descriptive part for tablets as per IP, as specified in the laboratory protocol. As per IP, tablets should have sufficient hardness to withstand handling without crumbling or breaking. These tablets are soft and in powdered condition and cannot be removed from the strips in intact form",description_labelling,,"DTL, TVPM",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
